"filename", "language", "CSS", "JSON with Comments", "Shell Script", "JSON", "Rust", "Properties", "Markdown", "LEC", "JavaScript", "HTML", "GDScript", "YAML", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C59.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 8, 26
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C6.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 6, 22
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C60.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 8, 26
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C61.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 8, 26
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C62.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 8, 26
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C63.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 7, 25
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C64.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 3, 9, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C65.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 7, 25
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C67.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 7, 26
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Components\C68.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 15, 42
