"filename", "language", "HTML", "CSS", "Properties", "JavaScript", "JSON", "JSON with Comments", "Markdown", "YAML", "Shell Script", "Rust", "GDScript", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\dynamic subtitles.json", "JSON", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\experimental tilemap.json", "JSON", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 1, 139
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\kits at start.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\savestate\one\char 1.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 16, 44
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\savestate\one\common.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 14, 58
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\savestate\quickStart\char 1.json", "JSON", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 16, 43
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\savestate\quickStart\common.json", "JSON", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 15, 53
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\backup_menue.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 37, 102
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\concatted_menue.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 14, 41
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\distribution_menue.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 31, 70
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\helpers.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 2, 47, 111
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 13, 42
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\menue.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 1, 31, 130
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\synchronice_menue.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 12, 30
