"filename", "language", "Properties", "JSON with Comments", "JSON", "HTML", "GDScript", "compressionTargetFile", "CSS", "JavaScript", "XML", "LEC", "Markdown", "Shell Script", "Rust", "YAML", "C++", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\refs.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 622, 51, 769
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\refspec.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 86, 16, 122
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\remote.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 684, 93, 957
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\repository.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 711, 76, 948
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\reset.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 76, 8, 112
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\revert.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 50, 12, 92
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\revparse.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 76, 10, 114
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\revwalk.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 236, 27, 300
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\signature.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 81, 10, 104
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\target\debug\build\libgit2-sys-2d98c0cd18d1fb1b\out\include\git2\stash.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 159, 31, 261
